schema: c3332
total: 531

pos	coluna	tipo
402	horacoleta	character varying
403	emailcte	character varying
404	tpamb	USER-DEFINED
405	percmargem	USER-DEFINED
406	percmargemps	USER-DEFINED
407	codobsfiscal2	USER-DEFINED
408	mostrafatfrota	USER-DEFINED
409	caixaarqfat	character varying
410	usuarioarqfat	character varying
411	dataarqfat	timestamp without time zone
412	codespeciemerc	USER-DEFINED
413	ctrb	character varying
414	obsestadia	text
415	pedagioembbaseicms	character
416	caixaviaarquivo	character varying
417	caixacomprfilial	character varying
418	comissaoestadia	USER-DEFINED
419	entradasaida	USER-DEFINED
420	chegouviaarquivo	USER-DEFINED
421	datacaixaarqviaarquivo	timestamp without time zone
422	usuariocaixaarqviaarquivo	character varying
423	chegouviafilial	USER-DEFINED
424	datacaixaarqviafilial	timestamp without time zone
425	usuariocaixaarqviafilial	character varying
426	ciot	character varying
427	cobrasegurocliente	USER-DEFINED
428	numviagopcartao	character varying
429	dataprevdescarga	timestamp without time zone
430	prazodescarga	USER-DEFINED
431	versaocte	character varying
432	cnd	character varying
433	precotonicms	USER-DEFINED
434	precotonclassificacao	USER-DEFINED
435	cndtransp	character varying
436	impressocf	USER-DEFINED
437	valorhoraestadiamot	USER-DEFINED
438	acertoadiant2	USER-DEFINED
439	numautgerrisco	character varying
440	retroagirestadia	USER-DEFINED
441	caixaarqtiket	character varying
442	usuariocaixaarqtiket	character varying
443	datacaixaarqtiket	timestamp without time zone
444	codacertoproprietario	USER-DEFINED
445	tpemis	character
446	chegouviaticket	character
447	valorcontainer	USER-DEFINED
448	respcontainer	USER-DEFINED
449	datadigiestadia	timestamp without time zone
450	usuariodigestadia	character varying
451	acertoclassificacao	USER-DEFINED
452	versaomodal	character varying
453	percadmercsegurada	USER-DEFINED
454	codgerriscoop	USER-DEFINED
455	codgerriscoseg	USER-DEFINED
456	numeroviagant	USER-DEFINED
457	tpambop	character
458	vlsaldomot	USER-DEFINED
459	vlsaldoemp	USER-DEFINED
460	vlfatfrota	USER-DEFINED
461	vlfatfrete	USER-DEFINED
462	vlcomemb	USER-DEFINED
463	vlmargem	USER-DEFINED
464	vlmargemps	USER-DEFINED
465	vlmargembruta	USER-DEFINED
466	vlfatempbr	USER-DEFINED
467	vlfatempbrps	USER-DEFINED
468	vlfatempliq	USER-DEFINED
469	vloutros	USER-DEFINED
470	pagaiss	character
471	chegouestadia	USER-DEFINED
472	caixaarqestadia	character varying
473	codcolenttrocanota	USER-DEFINED
474	estadiastatuscli	USER-DEFINED
475	enventregacte	USER-DEFINED
476	envcoletacte	USER-DEFINED
477	codmotorista2	USER-DEFINED
478	fusohorario	character varying
479	cnpjseguradora	USER-DEFINED
480	indglobalizado	character
481	listacompprest	character varying
482	fvalorareceber	character varying
483	ftotalprest	character varying
484	fbaseicms	character varying
485	fsaldoemp	character varying
486	codcontrato	USER-DEFINED
487	codrotamanif	USER-DEFINED
488	codcoletasetor	USER-DEFINED
489	codentregasetor	USER-DEFINED
490	precotonmotoristabr	USER-DEFINED
491	tpmodal	character varying
492	enviadoccf	USER-DEFINED
493	idcsrt	character varying
494	hashcsrt	character varying
495	respteccnpj	USER-DEFINED
496	respteccontato	character varying
497	resptecemail	USER-DEFINED
498	resptecfone	USER-DEFINED
499	qrcodcte	USER-DEFINED
500	codtipotransporteantt	USER-DEFINED
501	vafrmm	USER-DEFINED
502	codgerriscoped	USER-DEFINED
503	codgerriscor	USER-DEFINED
504	pagooperadora	character varying
505	ordemcli	character varying
506	dataenvioseguro	timestamp without time zone
507	tipotributacaoprop	character varying
508	precotonempresabr	USER-DEFINED
509	codfatpagseg2	USER-DEFINED
510	descmercnf	character varying
511	checklist	character varying
512	indaltodesemp	character varying
513	tpvalepedagio	character varying
514	percfrota	USER-DEFINED
515	fchecklistcte	character varying
516	codverifcfad	character varying
517	codverifcfsd	character varying
518	codverifcfad2	character varying
519	percadiantmotorista	USER-DEFINED
520	checklistpagto	character varying
521	ctecrt	character varying
522	codcarreta2	USER-DEFINED
523	codcarreta3	USER-DEFINED
524	codcarreta4	USER-DEFINED
525	codagrupadorcte	integer
526	codfaturaiva	USER-DEFINED
527	faturaiva	USER-DEFINED
528	codfatpagiva	USER-DEFINED
529	pagaiva	USER-DEFINED
530	freteciot	USER-DEFINED
531	codverifcfest	character varying
